id,name,cash,liquor quantity,liquor value,drugs quantity,drugs value,precious metal quantity,precious metal value,other items,total value
Andaman and Nicobar Island (UT),Andaman and Nicobar Island (UT),0.43,,0.09,,,,,,
Andhra Pradesh,Andhra Pradesh,137.07,6.79,26.5,,0.5,,33.41,19.05,216.53
Arunachal Pradesh,Arunachal Pradesh,7.2,,1.94,1.6,0.01,0,0,0.82,9.97
Assam,Assam,12.81,1.71,1.49,512.27,1.05,1.2,0.36,0.23,15.94
Bihar,Bihar,7.76,0.71,,108.75,,44,,,7.76
Chandigarh (UT),Chandigarh (UT),0.16,0.03,0.04,,0.38,0,0,0,0.58
Chhattisgarh,Chhattisgarh,5.66,0.06,0.11,6.95,0.004,0.5,0.17,0.8,6.744
Dadra and Nagar Haveli (UT),Dadra and Nagar Haveli (UT),1.91,0.08,0.2,0,0,0,0,0.03,2.14
Daman and Diu (UT),Daman and Diu (UT),0.86,0.067,0.16,0,0,0,0,0.03,1.05
Goa,Goa,2.41,1.29,8.34,7.86,0.31,0,0,0.01,11.07
Gujarat,Gujarat,7.52,3.85,11.08,130.5,524.34,28.59,1.37,0,544.31
Haryana,Haryana,2.12,2.59,4.36,,5,,1.13,0.003,12.613
Himachal Pradesh,Himachal Pradesh,0.08,4.44,6.77,72,0.88,0,0,0,7.73
Jammu and Kashmir,Jammu and Kashmir,0.8,0.03,0.02,,1.5,0,0,0,2.32
Jharkhand,Jharkhand,2.3,1.76,1.34,,1.98,0,0.005,0.36,5.985
Karnataka,Karnataka,34.5,9.56,37.5,158,0.12,52,9.55,1.35,83.02
Kerala,Kerala,6.56,0.06,0.42,,21.48,,3.26,0,31.72
Lakshadweep,Lakshadweep,0,0.001,0.003,0.089,0.0047,0,0,0,0.005
Madhya Pradesh,Madhya Pradesh,17.92,4.51,10.82,13008,5.27,314,3.6,5.36,42.97
Maharashtra,Maharashtra,45.81,29.68,22.87,14748,7.49,0,45.47,0.09,121.73
Manipur,Manipur,0.91,0.435,0.437,0,31.38,0,4.819,0.004,37.55
Meghalaya,Meghalaya,0.72,,0.2,,0.003,0,0,0,0.923
Mizoram,Mizoram,0,,0.24,,0.36,0,0,0,0.6
Nagaland,Nagaland,0.92,0.56,1.86,221,0.79,0,0,0,3.57
NCT of Delhi,NCT of Delhi,33.12,0.9,2.6,0,352.69,0,7.24,0,395.65
Odisha,Odisha,3.45,1.44,3.78,0,0,0,0,0.13,7.36
Puducherry,Puducherry,0.53,0.09,0.17,,,0,0,0.232,0.932
Punjab,Punjab,23.74,9.04,8.03,7056,167.43,413,19.34,0.25,218.79
Rajasthan,Rajasthan,4.7,4.55,11.23,,13.88,,7.49,5.62,42.92
Sikkim,Sikkim,0.24,0.02,0.04,,0.007,0,0,0,0.287
Tamil Nadu,Tamil Nadu,213.18,2.18,3.52,,0.38,3048,708.68,8.18,933.94
Telangana,Telangana,68.82,3.31,5.21,1471,3.03,3.3,0.28,0.47,77.81
Tripura,Tripura,0.41,0.26,0.44,2146,0.87,0,0,0,1.72
Uttarakhand,Uttarakhand,3.37,0.79,2.9,,0.77,0.6,0.21,0.04,7.29
Uttar Pradesh,Uttar Pradesh,38.96,14.95,41.4,18979,21.31,707,71.57,0,173.24
West Bengal,West Bengal,28.69,12.14,14.84,,2.86,,17.18,2.77,66.34
